securityname,first_in_portfolio,issuer_type,weight,price: 20221231,price: 20220930,price: 20220630,price: 20220331,price: 20211231,held_directly_or_through,held_by_that_many_active_funds,held_by_that_many_passive_funds,held_by_that_many_brands,issuer,issueAmount,total_usd_issuer_debt_amount,mean_issuer_issue_size,issuer_issue_count,marketvalue,holdingpercOfDeal,issue_date,RegistrationType,holdingType,debtType,debtRankType,primarySector,mortgageType,cmoClassType,cmoType,collateralType,crt,original_coupon_rate,effectiveduration,effectivematurity,maturitydate,modifiedduration,numberofshares,ratinganalytics_ratinglevel,yieldtomaturity,last_reported_factor,last_reported_factor_as_of_date,cmooriginaldealamount,state,country_of_risk,currency,em_dev,NAICSClassification,industry,muniSecurityType,muniUseOfProceeds,GreenBondIndicator,green_bond_third_party,convertible_indicator,conditional_conversion_indicator,conversion_feature_type,convertible_initiator,conversion_option_type,conversion_timing_type,convert_frequency_type,cusip,isin,apexid,bucket
XTO Energy Inc. 6.375%,20180630,Corporation,0.05,106.27,103.47,112.07,127.1,139.44,held_directly,2,,1,XTO Energy Inc.,,,,," $467,613.37 ",,2008-04-18,SEC Registered,Bond - Corporate Bond,,,Energy,,,,,NA,,9.93,15.46,2038-06-15,9.93," 440,034 ",AA,5.8059,,,,DE,US,USD,DEV,Crude Petroleum Extraction,Oil and Gas Extraction,,,,,NA,NA,,,,,,98385XAQ9,US98385XAQ97,9664789,bucket_one
Federal Home Loan Mortgage Corporation 6.5%,20180630,National Government Agency,0.00,102.68,103.54,105.06,107.49,110.51,held_directly,3,,1,Federal Home Loan Mortgage Corporation,,,,, $378.40 ,,1999-04-01,,Bond - Gov't Agency Pass-Thru,,,Financial Services,,,,,NA,,2.11,2.50,2029-05-01,2.23, 365 ,AAA,5.3151,0.00,2023-02-01,,DC,US,USD,DEV,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,31293PG66,US31293PG660,21696530,bucket_one
Federal Home Loan Mortgage Corporation 6%,20180630,National Government Agency,0.00,101.98,102.08,105.28,106.87,110.2,held_directly,2,,1,Federal Home Loan Mortgage Corporation,,,,, $283.80 ,,1999-01-01,,Bond - Gov't Agency Pass-Thru,,,Financial Services,,,,,NA,,1.85,2.17,2029-01-01,1.96, 278 ,AAA,4.9817,0.00,2023-02-01,,DC,US,USD,DEV,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,31293HJG9,US31293HJG92,39198065,bucket_one
TAMPA FLA SPORTS AUTH SUR CHARGE REV 8.02%,20180630,Local Government,0.09,101.94,101.96,104.6,105.98,110.24,held_directly,2,,1,TAMPA FLA SPORTS AUTH SUR CHARGE REV,, $-   ,, $-   ," $886,412.56 ",30.91,1995-08-01,,Bond - Muni Bond Revenue,Bond,,,,,,,NA,,1.85,2.11,2026-10-01,1.85," 870,001 ",BBB,7.0121,,,,FL,US,USD,DEV,,,Revenue,Stadiums/sports complex,,,NA,NA,,,,,,875274AZ5,US875274AZ52,4269362,bucket_one
Federal National Mortgage Association 6.5%,20180630,National Government Agency,0.00,102.58,103.14,105,107.44,110.49,held_directly,2,,1,Federal National Mortgage Association,,,,," $1,324.42 ",,1999-03-01,,Bond - Gov't Agency Pass-Thru,,,Financial Services,,,,,NA,,1.66,2.00,2029-03-01,1.84," 1,293 ",AAA,4.9924,0.00,2023-02-01,,DC,US,USD,DEV,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,31382RFG3,US31382RFG39,18760151,bucket_one
Federal National Mortgage Association 6.5%,20180630,National Government Agency,0.00,102.58,103.15,105.01,107.45,110.51,held_directly,2,,1,Federal National Mortgage Association,,,,," $3,216.44 ",,1998-11-01,,Bond - Gov't Agency Pass-Thru,,,Financial Services,,,,,NA,,1.62,2.00,2028-11-01,1.79," 3,143 ",AAA,4.951,0.01,2023-02-01,,DC,US,USD,DEV,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,31380GWG0,US31380GWG09,20503718,bucket_one
Federal National Mortgage Association 7%,20180630,National Government Agency,0.00,99.86,100.23,100.87,101.54,102.17,held_directly,2,,1,Federal National Mortgage Association,,,,, $378.40 ,,1998-05-01,,Bond - Gov't Agency Pass-Thru,,,Financial Services,,,,,NA,,1.60,1.92,2028-05-01,1.67, 367 ,AAA,6.9148,0.00,2023-02-01,,DC,US,USD,DEV,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,31379J4G8,US31379J4G84,39850160,bucket_one
FEDERAL HOME LN MTG CORP MULTICLASS MTG PARTN CTFS GTD 5.5%,20180630,Local Government,0.00,99.64,100.57,102.29,103.77,106.28,held_directly,4,,1,FEDERAL HOME LN MTG CORP MULTICLASS MTG PARTN CTFS GTD,,,,," $24,785.50 ",,,Public,,,,Financial Services,,,,,NA,,1.12,1.17,2025-10-15,1.09," 24,739 ",AAA,5.72,,,,VA,US,USD,DEV,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,31396CUA6,US31396CUA60,18520880,bucket_one
Regional Diversified Funding 2004-1 Ltd./Regional Diversified Funding 2004-,20180630,Corporation,0.01,,,,,,held_directly,9,,1,Regional Diversified Funding 2004-1 Ltd./Regional Diversified Funding 2004-1 Corp.,,,,," $124,589.68 ",,,Rule 144A,Bond - ABS,,,Industrials,,,,,NA,,,,2030-03-15,," 296,641 ",Below B,,,,,,KY,USD,Bermuda/Caymans,Offices of Other Holding Companies,Management of Companies and Enterprises,,,,,NA,NA,,,,,,75902AAA6,US75902AAA60,9402848,bucket_one
Massachusetts Mutual Life Insurance Co. 8.875%,20180630,Corporation,0.09,123.26,127.48,135.87,150.99,163.81,held_directly,8,,2,Massachusetts Mutual Life Insurance Co.,," $700,000,000 "," $700,000,000 ", $1 ," $875,155.02 ",,2009-06-01,Exempt Issue,Bond - Corporate Bond,,,Financial Services,,,,,NA,,9.34,16.42,2039-06-01,9.36," 709,979 ",A,6.5907,,,,MA,US,USD,DEV,Direct Life Insurance Carriers,Insurance Carriers and Related Activities,,,,,NA,NA,,,,,,575767AG3,US575767AG30,8454401,bucket_two_five
